"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjU7rlD8DAffYk15Sw6As1TcxaiItcGKUlL26rnHtTdSZ2k=w54-h54-p-rp-mo-ba4-br100","Paul George","Local Guide · 31 reviews · 64 photos","","","3 months ago","It's one of the premier technology institutes in the world.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJRgqSlfbxWUsLOK3nssOfKHvesXEhNyReVYrONKVc0=w54-h54-p-rp-mo-br100","Pavan Kapoor","16 reviews","","","a year ago","IIT Mumbai is one of the best IVY league institutes of India and is recognised the world over","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWraYViuw5I3aHENyn36M96AeMTLMMTWYuPKrxKG70KSG4=w54-h54-p-rp-mo-ba3-br100","vaibhav bansode","Local Guide · 8 reviews · 156 photos","","","3 months ago","Good atmosphere with big campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUq3_Sp9mmkjKSMNpq39Bj2XCkTEVbsS3RBBzxp8TLpKQ8=w54-h54-p-rp-mo-ba5-br100","Kaushal Kumar","Local Guide · 116 reviews · 472 photos","","","a month ago","So beautiful just looking like a🤩 …","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLia0XuMT0gF5EWDmpXkIMmMSr6gIKhqGhAg2YQgrseMA=w54-h54-p-rp-mo-br100","Taslim","10 reviews","","","a year ago","A dream place for every engineers to get admission here. Nice infrastructure and very good atmosphere.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgiVoeot747-ph-b4nxfChCKsbK3DSfSNBrPnPfhTn8Bx1=w54-h54-p-rp-mo-br100","Anil Jha","5 reviews","","","a week ago","Best iit","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1xTcVSDsqtSH0rHAKZ6bK2uDkLy5RG2oO2gWo9CL-HEGR=w54-h54-p-rp-mo-br100","Dipesh Choudhary","9 reviews","","","a year ago","huge campus, experienced faculty with  well structured classroom which gives u great learning environment","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViD1j3P39xHCzYohCeKy3fd4MQ7WV5V0JHnUNWPwBOOwW4=w54-h54-p-rp-mo-ba4-br100","Vishakha Shankar","Local Guide · 47 reviews · 131 photos","","","6 years ago","It is a center of knowledge and learning for technical education. It has a beautiful campus and a gorgeous lake. The guest house was very good, spacious and quite luxurious. The breakfast at Gulmohar was filling and delicious.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU2ux6GkvmbqZcPv7QFWf3JSIZG16B9zVhEdHE7_raVkQ=w54-h54-p-rp-mo-ba3-br100","Sohrabbuddin Begg","Local Guide · 17 reviews · 14 photos","","","a year ago","Incredible. One of the best Institute all across Maharashtra as compared to BARC Bombay.
Thank you
Anand Kumar","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUz2uJt99YTX3LDTUwDk7Cm0yJ92qCpsDvwDBCifzVPi7v3=w54-h54-p-rp-mo-ba5-br100","Parikshit Kumar","Local Guide · 173 reviews · 86 photos","","","6 years ago","One of the top best Engineering Institutions popularly known as IIT Mumbai having best teaching facilities & Large Campus & having evergreen & worldwide modern facilties & lots more which is dream college for Engineering preparing Students.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI3v90WsQTKCfXcp1sFKsSPRFIMTZ-MY-Nuzp-CLKyw=w54-h54-p-rp-mo-br100","Bharath Injamuri","13 reviews","","","a year ago","Amazing Curriculum. My Cousin studied CSE here.. Great legacy institute.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWyccp7_PHJ_Tdvv_dM3zGiLcKcKH02VbN8-dyyIeTopa_9=w54-h54-p-rp-mo-ba5-br100","HARSH KUMAR TIWARIπ","Local Guide · 128 reviews · 338 photos","","","3 years ago","IIT Bombay was founded in 1958. In 1961, the Parliament decreed IITs as Institutes of National Importance. A committee formed by the Government of India recommended the establishment of four higher institutes of technology to set the direction for the development of technical education in the country in 1946.","","","","","Like","22","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUH4IX3MEFwX-5pbRCmGsQvEsOReT2xcot535Q6eJ4J1g=w54-h54-p-rp-mo-ba2-br100","Aditya IITIAN","Local Guide · 20 reviews · 1 photo","","","9 months ago","Iit Bombay everyone's dream college bhai awesome festival conducted","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUOUq7zWZ2dzSESMs4lEPUVtWPWA85FBpEUPFyzdRVMKA=w54-h54-p-rp-mo-br100","RAJESH TRIPATHI","33 reviews","","","a year ago","There is one hill in campus on which you can climb to enjoy the breathtaking view from the top.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhEc2-lPqyTOCQkm3EwiyIHB21NGApmEbSOHe6y17RH38=w54-h54-p-rp-mo-ba4-br100","Ankit Raj","Local Guide · 45 reviews · 10 photos","","","a year ago","The place which last in your memories forever. Can't say more than close to nature. Especially in monsoon, the campus has lit vibes.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWjrPXkWk3j40lgKBJnr3lVnpQ3-7OkLBb1dyNFWyRvJu0=w54-h54-p-rp-mo-ba3-br100","Shubham N J","Local Guide · 41 reviews · 4 photos","","","5 years ago","Very good and nice place.
Also it is very clean and with lots of plants and natural environment.
Almost everything present here like bank ,food cantin, hotel, restaurant etc …","More","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKyXdcyNPB8lHHm-NkfomMFer2s99ojObr5FFTYBG6s=w54-h54-p-rp-mo-br100","arati ingale","6 reviews","","","a year ago","This institute is the Best Institute I have Ever Seen.
Campus is very good
This Institute have all types of facility available","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU_5EVNlmJwtPi3UcT7O8SoIrJfc_KkBtZcYE3aSk41r1mn=w54-h54-p-rp-mo-br100","juwin thomas","11 reviews · 2 photos","","","8 years ago","What a great place to learn ! The campus is big and awesome that puts you in a comfort zone from the rest of Mumbai and its crowded traffic. Feeling blessed to have an opportunity to study here.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX8qU3SB1_4XWno81cHPvnXrQI39SvEzUEAC8-s5p4VWdc=w54-h54-p-rp-mo-br100","Bhavik Dhandhalya","9 reviews","","","5 years ago","I think we can not Rank Top 5 IITs bcz they are best. I have been to IIT Bombay for Interview. Some hostel have awesome mess food some hostel have worst. Green trees are enough to make you happy by just walking around campus. Hills and lack have great view.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWHyzLVRIBkzRNMh6SB_9tAt_R8qYFBRoJdKB8ZaL1_jK4=w54-h54-p-rp-mo-ba3-br100","Vijay Naidu","Local Guide · 1 review","","","5 months ago","Love the food..superb awesome taste..the serving was good","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV_RmlnbuRLQE7e8UxOJLLaZYjfjsm6Oz01JxNic1gRT0p5=w54-h54-p-rp-mo-ba5-br100","Pramod Mali","Local Guide · 275 reviews · 723 photos","","","7 years ago","Outside and inside of campus are two different world all together. Apart from studies it's a huge campus. Auto rixa are available inside. From hostel to institute to cafeteria everything is inside. …","More","","","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJb2kf5w6AojriopIuXpUgbokGglZg9fDxbX3tLITAL=w54-h54-p-rp-mo-ba5-br100","gopal p","Local Guide · 199 reviews · 254 photos","","","4 years ago","This is one of the India's best college. Here is greenery and lifestyle is great. it will be a great place to study.  Most of the students dream to be study here.","","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXzHy2MF-f9aQrL6Ga9EaJqur9T7X9X2OI20SKqblSlWQ=w54-h54-p-rp-mo-br100","SAURABH","4 reviews · 8 photos","","","8 months ago","Very good for higher studies ,huge campus ,many department and much more","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW3ns9he9etDeTNrnshSwJOnrHhqKRCsmtsogsBji69AOu8=w54-h54-p-rp-mo-br100","SHUBHAM yadav","11 reviews","","","a year ago","his is the best college in India for engineering. The facilities and infrastructure are very good.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU91ldyxGOnZHj_TlYaJs8tztt1lLMM1yecCedtWpqieOi_=w54-h54-p-rp-mo-ba4-br100","Ankita Dargad","Local Guide · 69 reviews · 144 photos","","","3 years ago","This place is amazing, I'm studying here. Bombay ki bhaagdoud wali life me yeh peaceful place nhi milega. There are two lakes, one hill and a lot more to explore.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWaJeLW8kmH4_iNOTxasIHqFclvCxiDrnwL-Uj7pQJlBVQ=w54-h54-p-rp-mo-ba3-br100","Vedant Jha","Local Guide · 33 reviews · 44 photos","","","a year ago","Good old campus! with a fair bit of history and a rich alumni base, being the second oldest IIT.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXJZAD06xTJdlffF6oBuQQvneAvI_PeBo1WHi8HUmYtmWA=w54-h54-p-rp-mo-ba5-br100","Gaurav Shende","Local Guide · 254 reviews · 626 photos","","","6 years ago","The best indian Institute for engineering.  The most recognized for good placements and the infrastructure and the ambience.  The people studying here are lucky and ambitious but little odd also. The college situated in the lush green powai …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX417m7e0Dwq_tOhDCUL_6VSmsQMSjv6tX3Ksfvo-Qa5A=w54-h54-p-rp-mo-ba5-br100","Aneesh.M Joseph","Local Guide · 155 reviews · 1,939 photos","","","5 years ago","Best institute in Engineering in India. Good facilities, academic qualities. Situated just near by Powai lake. Wonderful campus. Even if the campus is big enough departments are conjusted and there no space for expanding the departments. …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWdTN7FB_bAwojytI-xmHBtYW4z-2SDHDAvkg2yHaU9bS_f=w54-h54-p-rp-mo-ba4-br100","Anand Swamy","Local Guide · 129 reviews · 172 photos","","","7 years ago","One of the best and the most reputed engineering institutes from India in the world. The Bombay campus is one of the largest and hosts many canteens, hostels, departments, lecture halls , gardens and overlooks the lake. The also famous …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX63lO3SBEk4pfdCyVDc4WGbLflGBPlvnUdAzkHO-GPBbeq=w54-h54-p-rp-mo-ba5-br100","Debarati Choudhury","Local Guide · 34 reviews · 2,108 photos","","","6 years ago","We went during Mood Indigo, the cultural fest of IIT Bombay. It's the biggest in Asia, and undoubtedly the best. Spread over 4 days, there are several international bands and artists who come and perform alongside Indian artists. Students …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIy6i-2eRb7ISLIw61Eqjx22udJPG9DMVMmSsIIi8nT=w54-h54-p-rp-mo-ba2-br100","khusboo singh","Local Guide · 16 reviews","","","a year ago","Top most reputed institute,an amazing experience in IIT Mumbai..this is one of the best engineering institute of India.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW8pdC3BSywdGXG19y3AS7UhRYFTAEO5YnsnDp27lbr3eI=w54-h54-p-rp-mo-br100","Manish jayswal","230 reviews","","","5 years ago","As much I know this is one of the best college of one of the bestest 🥇🆗institutions of India 🇮🇳 that is IIT and every math BTech student 👨‍🎓 👩‍🎓 and other degree 📜 students this is dream collage for them for getting admission in IIT Bombay as much we all know Google 👨‍💼 CEO also from IIT AND SUCH MANY MORE …","","","","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWv543vKpY8uzGjnBnyjJbWhD8aspVf6NpkoB9slLTCWpI=w54-h54-p-rp-mo-br100","Farhan Parekh","274 reviews","","","3 years ago","Indian Institute of Technology Bombay (abbreviated as IIT Bombay or IITB) is a public technical and research university located in Powai, Mumbai, India. …","More","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUf32NoDu7C6AvUVzzrEhpxJ2YotbYlfcz2FeIMk3JbjHc=w54-h54-p-rp-mo-ba4-br100","Sanket Thakur","Local Guide · 89 reviews · 19 photos","","","7 years ago","One of the best colleges in the country. Beautiful campus . Attended Techfest 2016 and it was quite an amazing experience. Night lights makes the campus even more beautiful. Located besides Powai lake.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLpIPCuYOOnvb2Gwge0RK3y6mEQdf3kC1no-Eak96ET=w54-h54-p-rp-mo-br100","Rahul Kumar","3 reviews · 1 photo","","","10 months ago","One of the finest intitute to visit.Campus is awesone 👌.
Amazing facilities and Security. …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVGdmqNiYw_y5mmAMETh9pdW6xZgt-2BAVfgBVDLlQMgaE=w54-h54-p-rp-mo-ba4-br100","SUDHIR KUMAR","Local Guide · 20 reviews · 38 photos","","","3 years ago","IIT Bombay is one of the best top level IIT institute in  India  for  Engineering courses like B.tech,M.tech,Bsc, MSc in many branches like computer science, mechanical engineering, chemical engineering  etc.maximum number of passed out …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUjqZ4GyYBTqEVJLLd06M5NyFVXA-wU2lbblx2_kOtgTWrC=w54-h54-p-rp-mo-ba5-br100","Anirudh Khandelwal","Local Guide · 130 reviews · 509 photos","","","5 years ago","Without any doubt this is the best engineering college in India in terms of facilities, faculties,students,alumni and environment.
Situated in Powai area in Mumbai.It was established in 1958 so one can feel the …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWx6g3BIPpOy_hmEOu33uFF1tHwMFzgdmyjGbMNXbcwy8=w54-h54-p-rp-mo-ba5-br100","Amal K George","Local Guide · 145 reviews · 239 photos","","","6 years ago","IIT Bombay has a comprehensive graduate program offering doctoral degrees in Science, Technology, Engineering and Mathematics. Currently IIT Bombay has a total of 14 academic departments, six centers, one school, and three interdisciplinary …","More","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVNlFHFyhAw2qums-Yn66FB5mIdvWHS_IDtTp_cXbe6Qf8=w54-h54-p-rp-mo-ba5-br100","Adarsh 9891","Local Guide · 356 reviews · 104 photos","","","a year ago","No.1 premium Institute. Visited for Symposium during 2009 I believe. It had some amazing greenery and cafeteria. Food was amazing.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX59yH922pSfcZakmQ4Ma7o8xqfVfrcGM6WQuujcdsGwCk=w54-h54-p-rp-mo-ba5-br100","Rahat Jahangir Rony","Local Guide · 157 reviews · 696 photos","","","5 years ago","IIT is the best for Hardcore Engineers. Naturally this campus is awesome and sometimes you may see leopard walking around the campus. May be its a myth, but i did not see. IIT Mumbai is one of the best institution in India as well as in the world.","","","","","","","","Share","",""
